;id;name;obor;"V˝znam˝ partner";Velertr26;Kontakty
145;599;"Commerzbank AG";IT;1;1;6
146;985;COmPRAg;IT;;;1
147;662;"Comproject s.r.o.";IT;;;1
148;313;"Computer System Group";ELE,IT;;;2
149;74;"con4PAS a.s.";IT;;;1
150;76;"Conrad electronic";IT;;;2
151;77;"Continental Automovie Czech Rep.";IT;;;3
152;703;"COOLHOUSING Data Center";IT;;;1
153;79;Coolpeople;IT;;;2
154;888;"CoreIT s.r.o.";IT;;;1
155;957;corpus;IT;;;1
156;324;CRV;IT;;;1
157;1003;"CS SOFT a.s.";ELE;;;1
158;96;»SOB;IT;;;
159;741;"»SOB Pojiöùovna";IT;;;2
160;153;Cubeteam;IT;;;1
161;720;Cyberchain;IT;;;1
162;796;Cybosec;IT;;;1
163;829;"Cybosec (Bitdefender)";IT;;;1
164;733;Cybrela;IT;;;1
165;354;"CZ NIC,  Turris";IT;;;1
166;857;"Czech software Consultancy";IT;;;1
167;81;"Cznet s.r.o.";IT;;;1
168;99;"D&C s.r.o.";IT;;;1
169;742;D.A.S.;IT;;;1
170;459;D3S;IT;;;1
171;969;Daktela;IT;;;
172;635;Dami;IT;;;1
173;100;"Dasko Net s.r.o.";IT;;;1
174;841;"Data delivery protection center (dpdc)";IT;;;1
175;705;"Data Evolution s.r.o.";IT;;;1
176;101;"Data Interservis";IT;;;1
177;593;Datari;IT;;;1
178;103;"Datera s.r.o.";IT;;;2
179;105;"Dazzle s.r.o.";ELE;;;1
180;106;DC4U;IT;1;1;3
181;107;"DCO s.r.o.";ELE;;;1
182;109;"Definity Systems s.r.o.";IT;;;1
183;578;"DEGA CZ s.r.o.";IT;;;1
184;111;deilote;IT;;;
185;637;DEL;IT;;;2
186;113;DELL;IT;;;
187;110;DELTACOMP;IT;;;1
188;607;"DENEVY, s.r.o.";IT;;1;3
189;491;devinn;IT;;;5
190;782;"devteam s.r.o.";IT;;;1
191;112;DHL;IT;;;1
192;670;DIA;IT;;1;2
193;784;"Diametral a.s.";ELE;;1;2
194;115;"Dicotech s.r.o.";IT;;;1
195;116;"Diebold Nixdorf s.r.o.";IT;;;1
196;945;Digiskills;IT;;;1
197;933;"Digital resources";IT;;;1
198;859;"Digit·lnÌ informaËnÌ agentura (DIA)";IT;;;
199;590;"Digiteq automotive";IT;;;2
200;117;"Dimension Data.";IT;;;
201;743;"Direct pojiöùovna, a.s.";IT;;;2
202;907;dnai;IT;;;1
203;601;DNS;IT;;;1
204;118;"DopravnÌ podnik hl. m. Prahy";IT;;1;4
205;641;"E*tech, spol. s r.o. ";IT;;;1
206;786;E-invent;IT;;;1
207;119;"E-solutions s.r.o.";IT;;;1
208;968;E-therm;ELE;;;1
209;121;"E.ON »esk· republika";IT;;;
210;122;"Eaton Elektrotechnika s.r.o.";ELE;;;3
211;579;ECOM;IT;;;1
212;840;"Econet Computers spol. s r.o.";IT;;1;1
213;882;"Edscha Automotive Kamenice s.r.o.";ELE;;;1
214;737;"Educasoft Solutions, s.r.o.";IT;;;1
215;901;Efteria;ELE;;;1
216;745;"EGAP (ExportnÌ garanËnÌ a pojiöùovacÌ)";IT;;;1
217;422;"EI SERVICES s.r.o.";IT;;;2
218;974;EIM;ELE;;;1
219;849;EISAS;IT;;;1
220;123;EK-automation;ELE;;;1
221;884;"El ñ Morrel";ELE,IT;;;1
222;321;"ELDATA Praûsk· s.r.o.";IT;;;1
223;124;"ElektrickÈ systÈmy";IT;;;1
224;707;"elektro s.r.o.";ELE;;;1
225;125;"Elektroinstalace s.r.o.";ELE;;;1
226;126;Elektroline;ELE;1;;1
227;127;"ElektronickÈ systÈmy";ELE;;;1
228;128;Elektrotechnika;ELE;;;1
229;979;Elevup;IT;;;
230;129;ELMEP;IT;;;1
231;131;"ElmozCzech s.r.o.";IT;;;1
232;132;"Eltodo a.s.";IT;;;1
233;897;ELVIA;ELE;;;1
234;18;Elvira;ELE;;;1
235;134;"Energocentrum Plus s.r.o.";ELE;;;1
236;135;"Enersys s.r.o.";ELE;;;
237;775;EON;ELE;;1;1
238;695;Eplan;IT;;1;2
239;652;Epptec;IT;;1;2
240;978;Eprovement;IT;;;1
241;136;equabank;IT;;;1
242;806;equans;ELE,IT;;1;2
243;138;"Eriell Services s.r.o.";ELE;;;1
